block,rate,spam,total
23650546,0,0,40
23650547,0,0,43
23650548,0,0,75
23650549,0,0,68
23650550,0,0,28
23650551,0,0,38
23650552,0,0,45
23650553,0,0,51
23650554,0,0,42
23650555,0,0,41
23650556,14,7,51
23650557,0,0,54
23650558,0,0,43
23650559,0,0,51
23650560,0,0,97
23650561,0,0,114
23650562,0,0,84
23650563,0,0,85
23650564,0,0,104
23650565,0,0,96
23650566,10,8,77
23650567,0,0,76
23650568,0,0,23
23650569,11,5,46
23650570,0,0,89
23650571,0,0,74
23650572,7,5,75
23650573,29,25,87
23650574,8,6,79
23650575,8,6,73
23650576,0,0,71
23650577,0,0,52
23650578,0,0,88
23650579,18,20,109
23650580,20,19,97
23650581,24,29,119
23650582,17,19,111
23650583,10,12,116
23650584,8,7,90
23650585,0,0,75
23650586,0,0,78
23650587,0,0,76
23650588,0,0,75
23650589,0,0,73
23650590,0,0,91
23650591,0,0,74
23650592,0,0,68
23650593,10,11,109
23650594,0,0,84
23650595,0,0,92
23650596,0,0,97
23650597,0,0,92
23650598,9,10,113
23650599,5,5,110
23650600,35,53,153
23650601,23,25,108
23650602,0,0,65
23650603,51,72,142
23650604,31,47,153
23650605,7,6,87
23650606,5,6,118
23650607,5,5,96
23650608,75,218,291
23650609,79,247,312
23650610,0,0,99
23650611,0,0,91
23650612,41,52,127
23650613,36,42,118
23650614,42,52,123
23650615,14,15,111
23650616,30,58,194
23650617,38,62,162
23650618,42,68,163
23650619,44,51,117
23650620,57,94,165
23650621,56,89,160
23650622,17,19,113
23650623,14,16,112
23650624,16,16,100
23650625,48,78,164
23650626,9,7,78
23650627,10,5,52
23650628,11,7,65
23650629,0,0,39
23650630,0,0,42
23650631,0,0,43
23650632,10,5,50
23650633,0,0,58
23650634,0,0,80
23650635,8,5,61
23650636,6,5,77
23650637,6,6,99
23650638,0,0,94
23650639,20,17,87
23650640,0,0,0
23650641,14,16,115
23650642,28,30,107
23650643,0,0,39
23650644,34,38,112
23650645,7,6,92
23650646,32,49,152
23650647,5,5,104
23650648,0,0,48
23650649,6,5,85
23650650,0,0,86
23650651,23,28,121
23650652,11,14,122
23650653,11,11,101
23650654,0,0,45
23650655,0,0,54
23650656,23,24,103
23650657,6,5,77
23650658,0,0,45
23650659,0,0,64
23650660,9,5,55
23650661,0,0,44
23650662,16,10,63
23650663,0,0,52
23650664,0,0,51
23650665,0,0,62
23650666,0,0,52
23650667,0,0,68
23650668,0,0,102
23650669,0,0,0
23650670,3,5,187
23650671,0,0,123
23650672,4,6,166
23650673,24,19,78
23650674,4,5,114
23650675,10,10,105
23650676,33,37,112
23650677,19,16,85
23650678,0,0,40
23650679,27,20,73
23650680,0,0,59
23650681,31,34,109
23650682,91,234,257
23650683,75,132,176
23650684,9,9,96
23650685,41,63,154
23650686,0,0,0
23650687,42,60,144
23650688,0,0,1
23650689,25,41,165
23650690,45,68,152
23650691,56,90,160
23650692,64,109,171
23650693,12,15,125
23650694,24,28,119
23650695,24,43,177
23650696,0,0,114
23650697,8,15,184
23650698,0,0,97
23650699,0,0,90
23650700,7,6,81
23650701,79,165,210
23650702,22,24,110
23650703,13,13,104
23650704,39,48,122
23650705,62,106,171
23650706,61,124,202
23650707,27,36,132
23650708,21,15,73
23650709,57,113,199
23650710,74,136,184
23650711,70,132,188
23650712,0,0,36
23650713,61,78,127
23650714,10,6,63
23650715,80,205,257
23650716,0,0,41
23650717,28,26,93
23650718,73,162,221
23650719,69,144,208
23650720,76,163,214
23650721,79,218,275
23650722,75,168,224
23650723,9,6,70
23650724,22,23,104
23650725,19,20,104
23650726,9,7,75
23650727,34,43,125
23650728,0,0,63
23650729,13,16,123
23650730,19,17,90
23650731,23,21,90
23650732,9,7,81
23650733,12,11,89
23650734,0,0,92
23650735,10,8,80
23650736,0,0,51
23650737,0,0,53
23650738,0,0,64
23650739,0,0,38
23650740,0,0,54
23650741,0,0,53
23650742,0,0,39
23650743,14,8,59
23650744,0,0,51
23650745,0,0,32
23650746,0,0,62
23650747,0,0,43
23650748,0,0,71
23650749,0,0,60
23650750,0,0,60
23650751,0,0,39
23650752,0,0,123
23650753,0,0,83
23650754,0,0,53
23650755,0,0,31
23650756,0,0,58
23650757,0,0,47
23650758,0,0,52
23650759,0,0,46
23650760,0,0,40
23650761,0,0,40
23650762,0,0,44
23650763,0,0,40
23650764,10,5,49
23650765,14,5,37
23650766,0,0,63
23650767,8,5,66
23650768,0,0,42
23650769,0,0,46
23650770,0,0,45
23650771,0,0,43
23650772,0,0,54
23650773,16,9,56
23650774,0,0,46
23650775,0,0,48
23650776,0,0,45
23650777,0,0,51
23650778,0,0,47
23650779,0,0,43
23650780,11,5,47
23650781,73,129,176
23650782,0,0,55
23650783,0,0,51
23650784,0,0,41
23650785,0,0,40
23650786,0,0,62
23650787,9,5,58
23650788,0,0,45
23650789,0,0,48
23650790,0,0,46
23650791,0,0,70
23650792,7,5,68
23650793,0,0,54
23650794,13,5,38
23650795,0,0,46
23650796,11,5,47
23650797,17,7,41
23650798,78,143,183
23650799,0,0,80
23650800,0,0,42
23650801,0,0,59
23650802,0,0,39
23650803,11,5,47
23650804,12,5,42
23650805,0,0,40
23650806,0,0,53
23650807,0,0,44
23650808,0,0,48
23650809,0,0,47
23650810,0,0,58
23650811,24,27,112
23650812,52,66,127
23650813,0,0,48
23650814,0,0,50
23650815,0,0,35
23650816,0,0,85
23650817,0,0,54
23650818,0,0,42
23650819,0,0,43
23650820,0,0,34
23650821,0,0,46
23650822,0,0,29
23650823,18,8,44
23650824,11,5,45
23650825,0,0,40
23650826,0,0,27
23650827,0,0,38
23650828,0,0,51
23650829,0,0,46
23650830,0,0,48
23650831,24,20,82
23650832,24,23,96
23650833,11,5,45
23650834,0,0,56
23650835,0,0,42
23650836,0,0,48
23650837,0,0,53
23650838,0,0,49
23650839,0,0,32
23650840,32,36,113
23650841,24,17,71
23650842,31,17,54
23650843,44,44,99
23650844,24,26,109
23650845,12,7,59
23650846,17,12,70
23650847,0,0,55
23650848,0,0,47
23650849,21,16,75
23650850,0,0,46
23650851,40,34,84
23650852,0,0,61
23650853,7,5,76
23650854,0,0,54
23650855,0,0,51
23650856,0,0,52
23650857,10,5,52
23650858,11,5,47
23650859,0,0,58
23650860,7,5,67
23650861,30,21,71
23650862,0,0,63
23650863,10,5,49
23650864,0,0,57
23650865,15,11,71
23650866,0,0,46
23650867,0,0,51
23650868,8,5,61
23650869,43,50,116
23650870,22,16,74
23650871,0,0,50
23650872,9,5,55
23650873,0,0,53
23650874,9,5,55
23650875,11,7,61
23650876,11,6,57
23650877,0,0,48
23650878,16,10,64
23650879,0,0,32
23650880,8,6,72
23650881,0,0,124
23650882,4,5,137
23650883,61,139,227
23650884,41,41,101
23650885,0,0,69
23650886,62,117,189
23650887,0,0,68
23650888,0,0,38
23650889,0,0,78
23650890,0,0,48
23650891,0,0,30
23650892,0,0,42
23650893,0,0,45
23650894,10,5,48
23650895,0,0,38
23650896,10,6,60
23650897,0,0,50
23650898,0,0,38
23650899,10,5,52
23650900,0,0,44
23650901,13,12,92
23650902,0,0,51
23650903,0,0,28
23650904,0,0,56
23650905,0,0,43
23650906,9,5,58
23650907,0,0,61
23650908,19,11,58
23650909,55,70,128
23650910,0,0,33
23650911,0,0,43
23650912,0,0,69
23650913,0,0,35
23650914,13,5,38
23650915,0,0,52
23650916,0,0,44
23650917,6,5,77
23650918,55,60,110
23650919,11,7,62
